# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAMDC	ENSG00000087884	ENST00000533193	protein_coding	131	565	1072	1275	117	28	180	117	2	936	1072	0	0	0	0	24	24	225	7	68	8	1	363	117
AAMP	ENSG00000127837	ENST00000444053	protein_coding	270	1325	2853	14064	1212	35	276	6192	2	2340	2853	0	0	0	0	60	60	549	7	136	7	2	917	4524
AANAT	ENSG00000129673	ENST00000250615	protein_coding	155	3317	1647	14961	441	430	3021	8586	2	1404	1629	0	0	0	2061	36	36	333	7	68	8	1	562	1797
AAR2	ENSG00000131043	ENST00000397286	protein_coding	182	999	2618	5739	528	37	279	117	2	702	2618	0	0	0	0	18	18	171	7	131	8	1	824	4257
AARD	ENSG00000205002	ENST00000378279	protein_coding	80	811	1001	5913	5358	17	135	117	2	234	1001	0	0	0	414	6	6	63	7	54	7	2	331	117
AARS	ENSG00000090861	ENST00000261772	protein_coding	574	2867	6488	10998	1278	68	432	5451	2	4680	6371	0	0	0	153	120	120	1089	7	319	8	1	2013	117
AARS2	ENSG00000124608	ENST00000244571	protein_coding	570	3282	6292	7152	2679	1	9	441	2	4914	6283	0	0	0	252	126	126	1143	7	303	8	1	2270	117
AARSD1	ENSG00000266967	ENST00000427569	protein_coding	276	1289	2703	6102	141	14	108	165	2	2574	2703	0	0	0	0	66	66	603	7	129	8	1	867	3642
AASDH	ENSG00000157426	ENST00000205214	protein_coding	684	3816	7184	3717	336	86	543	117	2	3276	7175	0	0	0	1008	84	84	765	7	502	7	2	2196	117
AASDHPPT	ENSG00000149313	ENST00000278618	protein_coding	203	3606	2080	7770	5409	87	666	117	2	1170	2053	0	0	0	2763	30	30	279	7	128	8	1	591	648
AASS	ENSG00000008311	ENST00000393376	protein_coding	662	2719	6074	5682	1068	47	288	117	2	5148	6074	0	0	0	0	132	132	1197	7	384	7	2	1867	117
AATF	ENSG00000108270	ENST00000225402	protein_coding	361	1590	3740	6000	621	105	753	117	2	2574	3740	0	0	0	0	66	66	603	7	214	8	1	1077	2463
AATK	ENSG00000181409	ENST00000326724	protein_coding	556	10396	8826	7650	3321	11	75	1719	2	3042	8826	0	0	0	6759	78	78	711	7	385	8	1	3146	117
ABAT	ENSG00000183044	ENST00000567812	protein_coding	360	1693	3429	4257	447	109	786	117	2	3510	3429	0	0	0	0	90	90	819	7	166	7	2	1031	117
ABCA1	ENSG00000165029	ENST00000374736	protein_coding	1395	33242	15180	20472	9939	152	1185	117	2	11466	14937	0	0	0	26928	294	294	2646	7	792	8	1	4611	117
ABCA10	ENSG00000154263	ENST00000269081	protein_coding	1171	16485	10227	21735	2460	409	2730	117	2	9387	10227	0	0	0	11643	234	234	2115	7	689	7	2	2962	8913
ABCA12	ENSG00000144452	ENST00000272895	protein_coding	1648	17694	17470	13842	3276	98	660	117	2	12168	17146	0	0	0	10845	312	312	2817	7	1010	7	2	5190	117
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	2751	12035	33689	17601	5949	7	72	117	2	14274	33689	0	0	0	0	366	366	3303	7	2004	8	1	9820	117
ABCA2	ENSG00000107331	ENST00000265662	protein_coding	1280	7127	15846	21879	2085	40	444	117	2	12504	15846	0	0	0	0	288	288	2568	7	689	8	1	5380	9000
ABCA3	ENSG00000167972	ENST00000301732	protein_coding	892	14512	11180	10668	2379	271	2103	117	2	7488	11171	0	0	0	9369	192	192	1737	7	493	8	1	3663	117
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	1368	46204	15047	10794	1200	42	261	117	2	11451	14975	0	0	0	39750	294	294	2655	7	765	8	1	4708	117
ABCA5	ENSG00000154265	ENST00000392677	protein_coding	1219	4603	10872	17046	9306	47	438	117	2	8892	10872	0	0	0	0	228	228	2061	7	748	8	1	3158	117
ABCA6	ENSG00000154262	ENST00000284425	protein_coding	1170	16230	10742	8634	813	80	525	117	2	8886	10715	0	0	0	11649	228	228	2061	7	700	7	2	3129	117
ABCA7	ENSG00000064687	ENST00000263094	protein_coding	1111	6795	13736	16041	432	84	693	2328	2	10734	13736	0	0	0	0	276	276	2493	7	544	8	1	5025	4062
ABCA8	ENSG00000141338	ENST00000430352	protein_coding	1138	4590	10679	7350	99	24	150	117	2	8643	10679	0	0	0	0	222	222	2007	7	680	7	2	3221	117
ABCA9	ENSG00000154258	ENST00000340001	protein_coding	1147	15959	10726	12204	4281	94	636	117	2	8877	10699	0	0	0	11262	228	228	2061	7	677	7	2	3231	117
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	824	35942	8505	11778	1152	178	1254	117	2	10482	8415	0	0	0	32175	168	168	1521	7	473	8	1	2623	117
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	1357	25025	4712	7386	4791	14	129	117	2	2808	4685	0	984	0	22860	72	72	657	7	215	7	2	1733	117
ABCB11	ENSG00000073734	ENST00000263817	protein_coding	821	36070	8799	7683	2052	60	375	117	2	6318	8718	0	0	0	32409	162	162	1467	7	482	8	1	2680	117
ABCB4	ENSG00000005471	ENST00000265723	protein_coding	825	36275	8450	8841	141	28	336	3225	2	6318	8432	0	0	0	32616	162	162	1467	7	486	8	1	2647	117
ABCB5	ENSG00000004846	ENST00000404938	protein_coding	847	21063	8340	11367	4155	307	1956	117	2	6318	8241	0	0	0	17298	162	162	1467	7	508	8	1	2555	117
ABCB6	ENSG00000115657	ENST00000265316	protein_coding	1750	15509	5426	17691	510	131	951	6162	2	4212	5408	0	1260	0	12834	108	108	981	7	259	8	1	1902	6720
ABCB7	ENSG00000131269	ENST00000253577	protein_coding	491	11885	4943	3369	270	12	75	117	2	3510	4898	0	0	0	9792	90	90	819	7	297	7	2	1573	117
ABCB8	ENSG00000197150	ENST00000297504	protein_coding	392	13242	4721	9702	639	31	198	3003	2	3738	4694	0	0	0	10923	96	96	873	7	185	8	1	1727	2892
ABCB9	ENSG00000150967	ENST00000442028	protein_coding	357	2358	4993	13890	2733	223	1734	117	2	2574	4993	0	0	0	0	66	66	603	7	210	8	1	1709	7260
ABCC1	ENSG00000103222	ENST00000399408	protein_coding	900	35348	10315	11904	5379	57	525	117	2	7254	10117	0	0	0	31131	186	186	1683	7	513	8	1	3230	117
ABCC10	ENSG00000124574	ENST00000372530	protein_coding	707	21583	9484	10683	1017	94	645	4998	2	4914	9439	0	0	0	17208	126	126	1143	7	440	8	1	3540	117
ABCC11	ENSG00000121270	ENST00000356608	protein_coding	829	3999	9072	9123	1092	34	297	117	2	7983	9072	0	0	0	0	174	174	1575	7	467	7	2	2890	1026
ABCC12	ENSG00000140798	ENST00000311303	protein_coding	831	20978	8953	8682	2226	132	1038	117	2	6528	8917	0	0	0	17037	168	168	1521	7	480	8	1	2825	117
ABCC2	ENSG00000023839	ENST00000370449	protein_coding	919	39146	10460	8022	1683	41	339	117	2	7254	10172	0	0	0	35073	186	186	1683	7	532	8	1	3192	117
ABCC3	ENSG00000108846	ENST00000285238	protein_coding	825	38573	9951	19086	3156	29	240	9993	2	7020	9915	0	0	0	34119	180	180	1629	7	451	7	2	3368	117
ABCC4	ENSG00000125257	ENST00000376887	protein_coding	939	23251	8759	11391	5232	36	345	117	2	7020	8633	0	0	0	19530	180	180	1629	7	564	8	1	2719	117
ABCC5	ENSG00000114770	ENST00000334444	protein_coding	858	22437	9754	10449	4098	112	723	117	2	6786	9412	0	0	0	18576	174	174	1575	7	495	8	1	3017	117
ABCC6	ENSG00000091262	ENST00000205557	protein_coding	811	38407	9688	9519	3615	9	90	117	2	7020	9670	0	0	0	33912	180	180	1629	7	436	8	1	3412	117
ABCC8	ENSG00000006071	ENST00000302539	protein_coding	919	33203	10360	10440	318	34	378	2559	2	8892	10342	0	0	0	28368	228	228	2061	7	448	8	1	3439	117
ABCC9	ENSG00000069431	ENST00000261200	protein_coding	1040	35405	10214	18045	10929	0	0	117	2	8658	10169	0	0	0	30924	222	222	2007	7	581	8	1	3182	117
ABCD1	ENSG00000101986	ENST00000218104	protein_coding	359	10582	4782	9360	3081	126	1197	117	2	2106	4755	0	0	0	8442	54	54	495	7	236	8	1	1705	3291
ABCD2	ENSG00000173208	ENST00000308666	protein_coding	437	10999	4865	13953	11637	65	408	117	2	2106	4847	0	0	0	9126	54	54	495	7	315	7	2	1489	117
ABCD3	ENSG00000117528	ENST00000454898	protein_coding	588	2229	4477	5163	453	25	198	117	2	5382	4477	0	0	0	0	138	138	1251	7	297	8	1	1364	117
ABCD4	ENSG00000119688	ENST00000356924	protein_coding	437	11575	3950	7128	3114	50	432	117	2	4212	3950	0	0	0	9576	108	108	981	7	206	8	1	1289	117
ABCE1	ENSG00000164163	ENST00000296577	protein_coding	490	10587	4117	10374	4818	212	1545	117	2	3978	3937	0	0	0	8739	102	102	927	7	271	8	1	1174	732
ABCF1	ENSG00000204574	ENST00000326195	protein_coding	667	12016	5693	7527	2493	34	336	117	2	5616	5558	0	0	0	9567	144	144	1305	7	364	8	1	1674	117
ABCF2	ENSG00000033050	ENST00000222388	protein_coding	439	8694	4255	3864	702	14	138	117	2	3510	4183	0	0	0	6912	90	90	819	7	244	8	1	1270	117
ABCF3	ENSG00000161204	ENST00000429586	protein_coding	494	9436	4648	9210	927	64	555	117	2	4680	4612	0	0	0	7155	120	120	1089	7	239	8	1	1521	3891
ABCG1	ENSG00000160179	ENST00000398437	protein_coding	451	2415	5359	6024	2556	71	444	117	2	3510	5359	0	0	0	0	90	90	819	7	257	7	2	1791	117
ABCG2	ENSG00000118777	ENST00000237612	protein_coding	469	19443	4294	10557	5895	230	1638	117	2	3510	4276	0	0	0	17325	90	90	819	7	275	7	2	1335	117
ABCG4	ENSG00000172350	ENST00000307417	protein_coding	376	2056	4214	8868	4632	124	1092	117	2	3582	4214	0	0	0	0	84	84	765	7	193	8	1	1398	117
ABCG5	ENSG00000138075	ENST00000260645	protein_coding	351	17482	4271	6624	1932	54	420	1230	2	2808	4253	0	0	0	15597	72	72	657	7	192	8	1	1405	810
ABCG8	ENSG00000143921	ENST00000272286	protein_coding	375	17326	4429	6078	1659	35	270	117	2	2808	4420	0	0	0	15444	72	72	657	7	216	8	1	1412	1800
ABHD1	ENSG00000143994	ENST00000316470	protein_coding	233	1452	2624	10467	204	37	342	8316	2	1872	2615	0	0	0	225	48	48	441	7	122	8	1	899	117
ABHD10	ENSG00000144827	ENST00000273359	protein_coding	183	1532	2007	11694	4926	11	81	117	2	936	1989	0	0	0	747	24	24	225	7	120	8	1	636	5826
ABHD11	ENSG00000106077	ENST00000222800	protein_coding	139	938	2085	2769	1395	24	210	117	2	1170	2067	0	0	0	45	30	30	279	7	65	7	2	694	117
ABHD12	ENSG00000100997	ENST00000376542	protein_coding	306	1413	2629	11757	690	118	840	2274	2	8412	2629	0	0	0	0	72	72	657	7	147	8	1	851	117
ABHD12B	ENSG00000131969	ENST00000337334	protein_coding	297	1179	2379	6984	1812	3	45	2778	2	2808	2379	0	0	0	0	72	72	657	7	138	8	1	732	117
ABHD13	ENSG00000139826	ENST00000375898	protein_coding	186	1065	2202	14361	12069	111	903	117	2	234	2193	0	0	0	225	6	6	63	7	160	7	2	671	1086
ABHD14A	ENSG00000248487	ENST00000273596	protein_coding	136	1046	1723	5796	534	22	204	2184	2	936	1705	0	0	0	234	24	24	225	7	73	8	1	652	2130
ABHD14A-ACY1	ENSG00000114786	ENST00000463937	protein_coding	332	1706	3308	10233	297	27	228	1959	2	6339	3308	0	0	0	0	90	90	819	7	137	8	1	1127	2130
ABHD14B	ENSG00000114779	ENST00000361143	protein_coding	323	666	1345	5952	2619	42	390	117	2	702	1345	0	222	0	0	18	18	171	7	50	8	1	486	2268
ABHD15	ENSG00000168792	ENST00000307201	protein_coding	162	1418	2987	10134	6042	55	513	117	2	234	2978	0	0	0	234	6	6	63	7	135	8	1	1090	3276
ABHD16A	ENSG00000204427	ENST00000395952	protein_coding	432	2609	3621	9321	789	53	489	1620	2	4446	3603	0	0	0	657	114	114	1035	7	189	8	1	1221	2889
ABHD16B	ENSG00000183260	ENST00000369916	protein_coding	144	1238	2989	1839	114	132	984	624	2	0	2989	0	0	0	0	0	0	9	7	130	7	2	1093	117
ABHD17A	ENSG00000129968	ENST00000250974	protein_coding	184	1340	2346	2796	672	120	960	117	2	1170	2328	0	0	0	225	30	30	279	7	109	8	1	803	117
ABHD17B	ENSG00000107362	ENST00000377041	protein_coding	196	1077	1939	3378	387	113	903	117	2	936	1912	0	0	0	234	24	24	225	7	133	8	1	583	1227
ABHD17C	ENSG00000136379	ENST00000258884	protein_coding	141	1179	2135	4740	3753	38	381	117	2	468	2135	0	0	0	342	12	12	117	7	102	8	1	715	117
ABHD2	ENSG00000140526	ENST00000352732	protein_coding	294	1462	2805	24465	20811	202	1560	117	2	2340	2805	0	0	0	0	60	60	549	7	159	8	1	852	117
ABHD3	ENSG00000158201	ENST00000289119	protein_coding	282	1398	2686	4221	2082	49	420	117	2	1869	2668	0	0	0	234	48	48	441	7	172	7	2	832	117
ABHD4	ENSG00000100439	ENST00000428304	protein_coding	199	973	2254	5793	4233	33	210	117	2	1404	2245	0	0	0	9	36	36	333	7	112	8	1	712	117
ABHD5	ENSG00000011198	ENST00000458276	protein_coding	241	1038	2296	3270	1551	47	369	117	2	1404	2269	0	0	0	81	36	36	333	7	154	8	1	709	117
ABHD6	ENSG00000163686	ENST00000295962	protein_coding	232	5850	2232	5859	2907	154	1230	117	2	1872	2223	0	0	0	4707	48	48	441	7	121	8	1	680	117
ABHD8	ENSG00000127220	ENST00000247706	protein_coding	182	1277	2835	7341	1590	88	720	1782	2	1005	2835	0	0	0	27	24	24	225	7	119	8	1	988	2436
ABI1	ENSG00000136754	ENST00000355394	protein_coding	318	1599	3300	10140	5922	90	672	1383	2	2574	3300	0	0	0	0	66	66	603	7	172	7	2	1100	117
ABI2	ENSG00000138443	ENST00000295851	protein_coding	299	1602	3328	65223	61113	114	888	1245	2	2340	3328	0	0	0	0	60	60	549	7	165	7	2	1115	117
ABI3	ENSG00000108798	ENST00000225941	protein_coding	202	3543	2351	12192	1530	180	1494	6207	2	1638	2324	0	0	0	2268	42	42	387	7	103	8	1	858	1659
ABI3BP	ENSG00000154175	ENST00000471714	protein_coding	1437	6437	11342	20076	4017	37	330	3336	2	15444	11342	0	0	0	0	396	396	3555	7	630	8	1	4012	117
ABL1	ENSG00000097007	ENST00000372348	protein_coding	2594	18167	7709	3216	0	183	1122	117	2	2340	7493	0	2076	0	15381	60	60	549	7	383	8	1	2456	117
ABL2	ENSG00000143322	ENST00000502732	protein_coding	1487	19307	8046	31386	25173	76	612	3438	2	2574	7686	0	912	0	16668	66	66	603	7	428	8	1	2515	117
ABLIM1	ENSG00000099204	ENST00000277895	protein_coding	592	7531	5281	5286	666	36	294	117	2	5148	5119	0	0	0	5292	132	132	1188	7	314	7	2	1560	117
ABLIM2	ENSG00000163995	ENST00000447017	protein_coding	495	8199	4252	6846	2832	7	60	117	2	4680	4252	0	0	0	6156	120	120	1080	7	240	8	1	1304	117
ABLIM3	ENSG00000173210	ENST00000309868	protein_coding	583	8260	4882	11334	6105	93	717	117	2	5382	4486	0	0	0	6345	138	138	1242	7	292	8	1	1360	117
ABR	ENSG00000159842	ENST00000302538	protein_coding	580	12550	5683	21249	7686	54	441	8913	2	5148	5674	0	0	0	9954	132	132	1197	7	301	8	1	1747	117
ABRA	ENSG00000174429	ENST00000311955	protein_coding	184	3385	2515	5247	4662	24	165	117	2	234	2515	0	0	0	2565	6	6	63	7	157	8	1	748	117
ABRACL	ENSG00000146386	ENST00000367660	protein_coding	69	804	534	2403	1197	69	600	117	2	468	525	0	0	0	477	12	12	117	7	31	7	2	164	117
ABT1	ENSG00000146109	ENST00000274849	protein_coding	134	2116	1775	4914	4215	14	93	117	2	468	1757	0	0	0	1449	12	12	117	7	95	8	1	587	117
ABTB1	ENSG00000114626	ENST00000232744	protein_coding	295	5192	3111	7623	1326	33	258	117	2	2574	3111	0	0	0	3717	66	66	603	7	148	8	1	1034	3876
ABTB2	ENSG00000166016	ENST00000435224	protein_coding	507	6087	6725	11397	4197	185	1275	2832	2	3744	6716	0	0	0	3123	96	96	873	7	300	8	1	2200	117
AC000003.2	ENSG00000264194	ENST00000581040	protein_coding	55	412	797	3459	2193	139	1032	117	2	0	797	0	0	0	0	0	0	9	7	40	8	1	261	117
AC002310.13	ENSG00000260869	ENST00000568114	protein_coding	52	283	589	12936	0	36	291	3051	2	9525	589	0	0	0	0	6	6	63	7	33	0	0	209	117
AC002365.1	ENSG00000234469	ENST00000445307	protein_coding	89	470	1415	420	0	0	0	117	0	234	1415	0	0	0	0	6	6	63	0	77	0	0	434	117
AC002398.9	ENSG00000188223	ENST00000591613	nonsense_mediated_decay	157	663	354	18990	2250	55	357	6114	2	4764	354	0	0	0	0	57	60	531	7	25	8	1	107	5964
AC002451.1	ENSG00000269449	ENST00000601424	protein_coding	62	413	913	14379	5244	110	681	117	2	0	913	0	0	0	0	0	0	9	7	48	7	2	290	8337
AC002472.1	ENSG00000269103	ENST00000547793	protein_coding	35	155	434	6006	0	0	0	5703	0	234	434	0	0	0	0	6	6	63	0	23	0	0	119	117
AC002472.13	ENSG00000187905	ENST00000342608	protein_coding	237	1245	2511	9459	7470	6	81	117	2	2106	2511	0	0	0	0	54	54	495	7	114	8	1	885	117
AC002553.1	ENSG00000227782	ENST00000442828	protein_coding	44	149	188	1902	0	0	0	117	0	906	188	0	0	0	0	18	18	165	0	8	0	0	47	1017
AC002985.3	ENSG00000268193	ENST00000593484	nonsense_mediated_decay	93	422	544	18201	990	0	6	2295	0	13182	544	0	0	0	0	30	30	279	0	25	8	1	178	1968
AC003002.4	ENSG00000268133	ENST00000597658	protein_coding	89	399	655	18165	0	63	450	4854	2	11961	655	0	0	0	0	18	18	171	7	46	0	0	208	1044
AC003002.6	ENSG00000269533	ENST00000596400	protein_coding	112	508	1182	14622	0	44	276	5952	2	8088	1182	0	0	0	0	18	18	171	7	69	0	0	354	450
AC003005.4	ENSG00000268107	ENST00000601674	nonsense_mediated_decay	69	368	377	15009	507	103	699	5883	2	7959	377	0	0	0	0	18	18	171	7	18	8	1	127	105
AC003006.7	ENSG00000269026	ENST00000594684	protein_coding	96	425	977	51654	0	67	501	13869	2	33138	977	0	0	0	0	12	12	117	7	65	0	0	284	4242
AC003043.1	ENSG00000268413	ENST00000597382	protein_coding	18	81	120	11664	0	0	0	117	0	6987	120	0	0	0	0	6	6	63	0	6	0	0	45	4608
AC003101.1	ENSG00000228768	ENST00000412403	protein_coding	90	398	924	678	60	2	12	117	2	468	924	0	0	0	0	12	12	117	7	52	7	2	311	117
AC003102.1	ENSG00000214921	ENST00000399246	protein_coding	42	400	224	9546	2112	258	1854	132	2	138	224	0	0	0	0	6	6	63	7	15	8	1	76	5358
AC004017.1	ENSG00000268948	ENST00000597520	protein_coding	44	171	568	9816	0	0	0	9699	2	0	568	0	0	0	0	0	0	9	7	29	8	1	168	117
AC004076.7	ENSG00000268533	ENST00000597410	protein_coding	53	238	462	20202	909	0	6	1350	0	17028	462	0	0	0	0	12	12	117	0	21	8	1	156	1005
AC004076.9	ENSG00000268163	ENST00000596831	protein_coding	119	544	869	30324	213	86	582	1146	2	28305	869	0	0	0	0	30	30	279	7	44	8	1	266	318
AC004381.6	ENSG00000005189	ENST00000261377	protein_coding	549	2380	5072	6765	555	90	627	117	2	4446	5072	0	0	0	0	114	114	1035	7	306	8	1	1579	1932
AC004466.1	ENSG00000268069	ENST00000599515	protein_coding	65	418	886	15381	1344	91	633	3288	2	0	886	0	0	0	0	0	0	9	7	50	8	1	315	10116
AC004528.1	ENSG00000269169	ENST00000594393	protein_coding	19	73	136	5442	0	0	0	5115	0	234	136	0	0	0	0	6	6	63	0	7	0	0	37	141
AC004817.1	ENSG00000267901	ENST00000594636	protein_coding	57	298	941	234	0	0	0	117	2	0	941	0	0	0	0	0	0	9	7	50	0	0	296	117
AC004824.2	ENSG00000269468	ENST00000602074	protein_coding	98	385	741	6519	0	0	0	117	0	6246	741	0	0	0	0	30	30	258	0	38	0	0	238	363
AC004899.1	ENSG00000267970	ENST00000596947	protein_coding	52	411	844	10581	9930	65	417	117	2	0	844	0	0	0	0	0	0	9	7	38	7	2	333	117
AC005003.1	ENSG00000213888	ENST00000504184	protein_coding	46	480	831	10797	2841	160	1359	117	2	0	831	0	0	0	0	0	0	9	7	31	8	1	308	6480
AC005008.2	ENSG00000237896	ENST00000431501	protein_coding	119	396	784	2043	1050	0	15	117	2	936	784	0	0	0	0	24	24	225	7	56	8	1	222	117
AC005082.1	ENSG00000214871	ENST00000366347	protein_coding	56	259	555	17919	0	0	0	2025	0	15033	555	0	0	0	0	12	12	117	0	32	0	0	187	957
AC005358.1	ENSG00000273452	ENST00000609971	protein_coding	326	1701	4474	2625	0	0	0	1101	2	1638	4474	0	0	0	0	42	42	387	7	227	8	1	1446	222
AC005477.1	ENSG00000257040	ENST00000542853	protein_coding	71	556	840	5490	3204	306	2052	117	2	0	840	0	0	0	0	0	0	9	7	57	7	2	237	117
AC005481.5	ENSG00000222012	ENST00000409610	protein_coding	66	286	760	10413	9297	2	18	795	2	234	760	0	0	0	0	6	6	63	7	39	8	1	236	117
AC005488.1	ENSG00000267985	ENST00000594241	protein_coding	32	129	169	606	0	0	0	117	0	468	169	0	0	0	0	12	12	117	0	8	0	0	57	117
AC005493.1	ENSG00000214841	ENST00000399077	protein_coding	36	130	182	1293	0	0	0	117	0	1155	182	0	0	0	0	12	12	117	0	12	0	0	58	117
AC005544.1	ENSG00000214167	ENST00000375684	protein_coding	103	522	1376	7032	0	0	0	4065	0	117	1376	0	0	0	0	6	6	63	0	84	7	2	484	2898
AC005549.3	ENSG00000268024	ENST00000601918	protein_coding	21	89	145	3102	0	0	0	117	0	234	145	0	0	0	0	6	6	63	0	9	0	0	53	2799
AC005606.1	ENSG00000269205	ENST00000598236	protein_coding	26	100	270	25563	3468	0	3	7902	0	0	270	0	0	0	0	0	0	9	0	18	8	1	90	14190
AC005609.1	ENSG00000249034	ENST00000502505	protein_coding	56	553	1234	14547	6168	97	747	7515	2	0	1234	0	0	0	0	0	0	9	7	41	8	1	444	117
AC005779.2	ENSG00000267545	ENST00000593083	nonsense_mediated_decay	42	215	169	10116	969	0	0	306	0	6078	169	0	0	0	0	12	18	144	0	4	8	1	70	2883
AC005841.1	ENSG00000206044	ENST00000382678	protein_coding	142	697	2074	7359	0	0	0	117	2	468	2074	1	0	0	0	12	12	117	7	103	8	1	622	6870
AC006014.1	ENSG00000268891	ENST00000594196	protein_coding	32	129	169	606	0	0	0	117	0	468	169	0	0	0	0	12	12	117	0	8	0	0	57	117
AC006116.20	ENSG00000267710	ENST00000588026	protein_coding	117	431	730	1353	0	0	3	117	0	1404	730	0	0	0	0	36	36	333	0	45	0	0	215	117
AC006126.3	ENSG00000266958	ENST00000591569	protein_coding	86	448	599	5907	120	89	645	1422	2	3747	599	0	0	0	0	18	18	171	7	35	8	1	203	117
AC006156.1	ENSG00000225516	ENST00000450145	protein_coding	196	765	1718	10425	0	0	0	117	0	5730	1718	0	0	0	0	45	45	405	0	109	0	0	513	4917
AC006372.1	ENSG00000236669	ENST00000444154	protein_coding	89	381	1050	3387	2943	35	210	117	2	0	1050	0	0	0	0	0	0	9	7	74	8	1	334	117
AC006435.1	ENSG00000205821	ENST00000609667	protein_coding	96	513	971	14106	57	53	240	117	2	468	971	0	0	0	0	12	12	117	7	58	7	2	375	13320
